"udid","ts","date","prod_name","prod_type",rev
"3226b770b6cf4761b2c65badd4cad6ea","2016-03-04 08:15:49","2016-03-04","iap_1_gems_2","gems",760
"3226b770b6cf4761b2c65badd4cad6ea","2016-03-04 08:24:15","2016-03-04","iap_1_passes_2","chapterPasses",760
"3226b770b6cf4761b2c65badd4cad6ea","2016-03-04 22:49:08","2016-03-04","iap_1_gems_1","gems",410
"45eea280c28e4af5b57a0731d4105f39","2016-03-06 00:16:48","2016-03-06","iap_1_gems_2","gems",760
"49292ec6182a44f080a36cd464e75c57","2016-03-06 09:13:45","2016-03-06","iap_1_gems_2","gems",760
"afd9e4294b2a48b7ad27ba8ec4e61eed","2016-03-06 09:44:30","2016-03-06","iap_1_gems_2","gems",760
"49292ec6182a44f080a36cd464e75c57","2016-03-07 09:36:37","2016-03-07","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-07 15:57:34","2016-03-07","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-07 15:57:34","2016-03-07","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-07 20:51:03","2016-03-07","iap_1_passes_2","chapterPasses",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-07 21:00:47","2016-03-07","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-07 21:42:39","2016-03-07","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-07 22:37:00","2016-03-07","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-07 23:24:14","2016-03-07","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-07 23:41:57","2016-03-07","iap_1_passes_2","chapterPasses",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 00:20:24","2016-03-08","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 00:48:24","2016-03-08","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 01:58:23","2016-03-08","iap_1_passes_2","chapterPasses",760
"5b08f8c47e5743f4b0ed2b7aef490352","2016-03-08 10:56:14","2016-03-08","iap_1_passes_1","chapterPasses",410
"5b08f8c47e5743f4b0ed2b7aef490352","2016-03-08 11:17:47","2016-03-08","iap_1_passes_1","chapterPasses",410
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 13:54:14","2016-03-08","iap_1_passes_2","chapterPasses",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 14:20:29","2016-03-08","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-08 15:34:46","2016-03-08","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-08 15:43:20","2016-03-08","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-08 15:45:51","2016-03-08","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 16:08:31","2016-03-08","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 16:58:13","2016-03-08","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-08 20:13:18","2016-03-08","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 21:06:56","2016-03-08","iap_1_gems_2","gems",760
"0570a9deab414514b9bc8e1f05d2d621","2016-03-08 23:36:22","2016-03-08","iap_1_gems_5","gems",1810
"0570a9deab414514b9bc8e1f05d2d621","2016-03-09 00:41:53","2016-03-09","iap_1_passes_5","chapterPasses",1810
"0570a9deab414514b9bc8e1f05d2d621","2016-03-09 00:57:26","2016-03-09","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-09 04:32:44","2016-03-09","iap_1_gems_2","gems",760
"e6c7cb751ace409c8f77d2d9e00f31e8","2016-03-09 10:18:32","2016-03-09","iap_1_passes_2","chapterPasses",760
"e6c7cb751ace409c8f77d2d9e00f31e8","2016-03-09 10:53:07","2016-03-09","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-09 13:14:32","2016-03-09","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-09 13:50:46","2016-03-09","iap_1_gems_5","gems",1810
"6b730f0fa590412793857e2988523a48","2016-03-09 14:02:14","2016-03-09","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-09 14:16:29","2016-03-09","iap_1_gems_2","gems",760
"d2aadfcf06154fef8bd95c4f61678f3f","2016-03-09 18:38:01","2016-03-09","iap_1_passes_2","chapterPasses",760
"d2aadfcf06154fef8bd95c4f61678f3f","2016-03-09 18:38:44","2016-03-09","iap_1_gems_5","gems",1810
"d2aadfcf06154fef8bd95c4f61678f3f","2016-03-09 20:10:57","2016-03-09","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-09 20:11:13","2016-03-09","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-10 04:19:12","2016-03-10","iap_1_gems_2","gems",760
"e6c7cb751ace409c8f77d2d9e00f31e8","2016-03-10 13:04:04","2016-03-10","iap_1_passes_2","chapterPasses",760
"6b730f0fa590412793857e2988523a48","2016-03-10 16:13:39","2016-03-10","iap_1_gems_2","gems",760
"6b730f0fa590412793857e2988523a48","2016-03-10 16:32:49","2016-03-10","iap_1_gems_2","gems",760
"d2aadfcf06154fef8bd95c4f61678f3f","2016-03-10 16:40:06","2016-03-10","iap_1_passes_2","chapterPasses",760
